****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 19x7379
Performing five EM steps to prime main algorithm
154 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60727.2	(delta): -3.93393
155 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60725	(delta): 2.1695
156 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60722.7	(delta): 2.28913
157 (QN/Block) 	Elapsed: 0.374	Loglikelihood: -60726.5	(delta): -3.75398
158 (QN/Block) 	Elapsed: 0.286	Loglikelihood: -60725	(delta): 1.4618
159 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -60722.2	(delta): 2.81119
160 (QN/Block) 	Elapsed: 0.338	Loglikelihood: -60724.1	(delta): -1.94391
161 (QN/Block) 	Elapsed: 0.328	Loglikelihood: -60722.2	(delta): 1.94071
162 (QN/Block) 	Elapsed: 0.293	Loglikelihood: -60720.4	(delta): 1.74557
163 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60718.3	(delta): 2.11418
164 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60715.3	(delta): 2.98223
165 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60713.9	(delta): 1.46005
166 (QN/Block) 	Elapsed: 0.429	Loglikelihood: -60720.9	(delta): -6.97535
167 (QN/Block) 	Elapsed: 0.304	Loglikelihood: -60719.2	(delta): 1.65508
168 (QN/Block) 	Elapsed: 0.316	Loglikelihood: -60719.1	(delta): 0.0918962
169 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60724.7	(delta): -5.60917
170 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60721.9	(delta): 2.8717
171 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -60720.4	(delta): 1.4489
172 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60718.8	(delta): 1.65137
173 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60725.8	(delta): -7.03992
174 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60725.5	(delta): 0.295965
175 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60724.1	(delta): 1.44699
176 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60720.7	(delta): 3.30511
177 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60728.1	(delta): -7.36704
178 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -60729.8	(delta): -1.69719
179 (QN/Block) 	Elapsed: 0.325	Loglikelihood: -60727.7	(delta): 2.15627
180 (QN/Block) 	Elapsed: 0.296	Loglikelihood: -60771.3	(delta): -43.6509
181 (QN/Block) 	Elapsed: 0.275	Loglikelihood: -60765.8	(delta): 5.55277
182 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60704.2	(delta): 61.5602
183 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60698.9	(delta): 5.28359
184 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60695.5	(delta): 3.3738
185 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60691.5	(delta): 4.00427
186 (QN/Block) 	Elapsed: 0.337	Loglikelihood: -60690.1	(delta): 1.43222
187 (QN/Block) 	Elapsed: 0.302	Loglikelihood: -60689.6	(delta): 0.482835
188 (QN/Block) 	Elapsed: 0.335	Loglikelihood: -60687.6	(delta): 1.96954
189 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60695.1	(delta): -7.49132
190 (QN/Block) 	Elapsed: 0.365	Loglikelihood: -60693.3	(delta): 1.84458
191 (QN/Block) 	Elapsed: 0.284	Loglikelihood: -60691.4	(delta): 1.89163
192 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60693.8	(delta): -2.43412
193 (QN/Block) 	Elapsed: 0.334	Loglikelihood: -60695.1	(delta): -1.28702
194 (QN/Block) 	Elapsed: 0.313	Loglikelihood: -60695.2	(delta): -0.120143
195 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60693.3	(delta): 1.9074
196 (QN/Block) 	Elapsed: 0.324	Loglikelihood: -60690.1	(delta): 3.27081
197 (QN/Block) 	Elapsed: 0.284	Loglikelihood: -60687.5	(delta): 2.5631
198 (QN/Block) 	Elapsed: 0.474	Loglikelihood: -60686.9	(delta): 0.563803
199 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60685.7	(delta): 1.27266
200 (QN/Block) 	Elapsed: 0.47	Loglikelihood: -60685.2	(delta): 0.449308
201 (QN/Block) 	Elapsed: 0.281	Loglikelihood: -60691.2	(delta): -5.98713
202 (QN/Block) 	Elapsed: 0.327	Loglikelihood: -60689.5	(delta): 1.70064
203 (QN/Block) 	Elapsed: 0.319	Loglikelihood: -60688.3	(delta): 1.20344
204 (QN/Block) 	Elapsed: 0.418	Loglikelihood: -60688.8	(delta): -0.519515
205 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60687.7	(delta): 1.16653
206 (QN/Block) 	Elapsed: 0.312	Loglikelihood: -60686.4	(delta): 1.20485
207 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60692.2	(delta): -5.72317
208 (QN/Block) 	Elapsed: 0.292	Loglikelihood: -60689.3	(delta): 2.84763
209 (QN/Block) 	Elapsed: 0.325	Loglikelihood: -60686.9	(delta): 2.39211
210 (QN/Block) 	Elapsed: 0.299	Loglikelihood: -60685.8	(delta): 1.10418
211 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60681.2	(delta): 4.65433
212 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60679.9	(delta): 1.2771
213 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60678.9	(delta): 0.967797
214 (QN/Block) 	Elapsed: 0.346	Loglikelihood: -60683.4	(delta): -4.50652
215 (QN/Block) 	Elapsed: 0.324	Loglikelihood: -60681.5	(delta): 1.95379
216 (QN/Block) 	Elapsed: 0.337	Loglikelihood: -60682.3	(delta): -0.783316
217 (QN/Block) 	Elapsed: 0.326	Loglikelihood: -60681.6	(delta): 0.692288
218 (QN/Block) 	Elapsed: 0.388	Loglikelihood: -60681	(delta): 0.568696
219 (QN/Block) 	Elapsed: 0.33	Loglikelihood: -60682	(delta): -1.0083
220 (QN/Block) 	Elapsed: 0.295	Loglikelihood: -60680.2	(delta): 1.84853
221 (QN/Block) 	Elapsed: 0.32	Loglikelihood: -60679.4	(delta): 0.775936
222 (QN/Block) 	Elapsed: 0.315	Loglikelihood: -60679.4	(delta): -0.0565447
223 (QN/Block) 	Elapsed: 0.337	Loglikelihood: -60679	(delta): 0.462465
224 (QN/Block) 	Elapsed: 0.306	Loglikelihood: -60680.7	(delta): -1.74118
225 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60681.5	(delta): -0.753546
226 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -60686.4	(delta): -4.94364
227 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -60680.5	(delta): 5.94622
228 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60678.5	(delta): 1.98084
229 (QN/Block) 	Elapsed: 0.307	Loglikelihood: -60680.1	(delta): -1.56747
230 (QN/Block) 	Elapsed: 0.322	Loglikelihood: -60680.7	(delta): -0.622918
231 (QN/Block) 	Elapsed: 0.368	Loglikelihood: -60680.1	(delta): 0.57995
232 (QN/Block) 	Elapsed: 0.337	Loglikelihood: -60689.1	(delta): -9.03887
233 (QN/Block) 	Elapsed: 0.313	Loglikelihood: -60688.3	(delta): 0.79879
234 (QN/Block) 	Elapsed: 0.324	Loglikelihood: -60690.1	(delta): -1.79642
235 (QN/Block) 	Elapsed: 0.325	Loglikelihood: -60696.3	(delta): -6.16751
236 (QN/Block) 	Elapsed: 0.345	Loglikelihood: -60698.8	(delta): -2.50705
237 (QN/Block) 	Elapsed: 0.488	Loglikelihood: -60695.4	(delta): 3.4119
238 (QN/Block) 	Elapsed: 0.56	Loglikelihood: -60694.3	(delta): 1.14586
239 (QN/Block) 	Elapsed: 0.457	Loglikelihood: -60689.1	(delta): 5.1349
240 (QN/Block) 	Elapsed: 0.464	Loglikelihood: -60692.3	(delta): -3.206
241 (QN/Block) 	Elapsed: 0.439	Loglikelihood: -60691.2	(delta): 1.08423
242 (QN/Block) 	Elapsed: 0.286	Loglikelihood: -60689.9	(delta): 1.34857
243 (QN/Block) 	Elapsed: 0.645	Loglikelihood: -60692.2	(delta): -2.31251
244 (QN/Block) 	Elapsed: 0.368	Loglikelihood: -60692.5	(delta): -0.24986
245 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60701.3	(delta): -8.84479
246 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60700.8	(delta): 0.523913
247 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -60697.4	(delta): 3.37672
248 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60701.5	(delta): -4.14662
249 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60697.8	(delta): 3.75063
250 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60697.3	(delta): 0.469185
251 (QN/Block) 	Elapsed: 0.275	Loglikelihood: -60711.1	(delta): -13.742
252 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60706.9	(delta): 4.1234
253 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -60699	(delta): 7.91672
254 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60695.5	(delta): 3.49321
255 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60699.9	(delta): -4.32055
256 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60695.7	(delta): 4.19224
257 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60693.9	(delta): 1.79338
